기준일자,승차_호선,승차_역,하차_호선,하차_역,일반_승객수,승차 가능,하차 가능,기동카 사용 가능,환승 여부
20230331,2호선,강남,2호선,잠실,6699,O,O,O,X
20230331,2호선,잠실,2호선,강남,6243,O,O,O,X
20230331,2호선,삼성,2호선,잠실,4489,O,O,O,X
20230331,2호선,신림,2호선,강남,3992,O,O,O,X
20230331,2호선,강남,2호선,신림,3868,O,O,O,X
20230331,2호선,잠실,2호선,삼성,3761,O,O,O,X
20230331,2호선,강남,2호선,서울대입구,3633,O,O,O,X
20230331,2호선,선릉,2호선,잠실,3583,O,O,O,X
20230331,2호선,서울대입구,2호선,강남,3553,O,O,O,X
20230331,2호선,삼성,2호선,강남,3455,O,O,O,X
20230331,2호선,잠실,2호선,역삼,3259,O,O,O,X
20230331,2호선,선릉,2호선,강남,3195,O,O,O,X
20230331,2호선,역삼,2호선,잠실,3125,O,O,O,X
20230331,2호선,을지로입구,2호선,홍대입구,3087,O,O,O,X
20230331,2호선,강남,2호선,사당,3044,O,O,O,X
20230331,2호선,잠실,2호선,선릉,3038,O,O,O,X
20230331,2호선,잠실,2호선,강변,2963,O,O,O,X
20230331,2호선,강변,2호선,잠실,2960,O,O,O,X
20230331,2호선,홍대입구,2호선,을지로입구,2946,O,O,O,X
20230331,2호선,강남,2호선,삼성,2870,O,O,O,X
20230331,2호선,잠실,2호선,건대입구,2669,O,O,O,X
20230331,2호선,강남,2호선,선릉,2662,O,O,O,X
20230331,2호선,구로디지털단지,2호선,강남,2534,O,O,O,X
20230331,2호선,강남,2호선,구로디지털단지,2486,O,O,O,X
20230331,2호선,신림,2호선,역삼,2420,O,O,O,X
20230331,2호선,건대입구,2호선,잠실,2318,O,O,O,X
20230331,2호선,서울대입구,2호선,역삼,2150,O,O,O,X
20230331,2호선,잠실,2호선,사당,2146,O,O,O,X
20230331,1호선,종각,1호선,서울,2138,O,O,O,X
20230331,2호선,잠실,2호선,잠실새내,2129,O,O,O,X
20230331,2호선,낙성대,2호선,강남,2047,O,O,O,X
20230331,2호선,사당,2호선,강남,2024,O,O,O,X
20230331,2호선,구로디지털단지,2호선,홍대입구,2016,O,O,O,X
20230331,2호선,강남,2호선,낙성대,2000,O,O,O,X
20230331,2호선,선릉,2호선,사당,1987,O,O,O,X
20230331,2호선,성수,2호선,잠실,1978,O,O,O,X
20230331,2호선,잠실,2호선,성수,1965,O,O,O,X
20230331,2호선,신림,2호선,삼성,1951,O,O,O,X
20230331,2호선,삼성,2호선,사당,1916,O,O,O,X
20230331,2호선,신림,2호선,선릉,1889,O,O,O,X
20230331,9호선,여의도,9호선,신논현,1882,O,O,O,X
20230331,2호선,역삼,2호선,신림,1876,O,O,O,X
20230331,2호선,을지로입구,2호선,신촌,1845,O,O,O,X
20230331,2호선,사당,2호선,서울대입구,1839,O,O,O,X
20230331,2호선,신촌,2호선,을지로입구,1828,O,O,O,X
20230331,2호선,사당,2호선,신림,1816,O,O,O,X
20230331,2호선,서울대입구,2호선,삼성,1813,O,O,O,X
20230331,2호선,서울대입구,2호선,선릉,1810,O,O,O,X
20230331,2호선,홍대입구,2호선,구로디지털단지,1794,O,O,O,X
20230331,9호선,여의도,9호선,당산,1754,O,O,O,X
20230331,7호선,광명사거리,7호선,가산디지털단지,1748,O,O,O,X
20230331,5호선,화곡,5호선,발산,1740,O,O,O,X
20230331,2호선,잠실,2호선,신림,1736,O,O,O,X
20230331,5호선,까치산,5호선,발산,1727,O,O,O,X
20230331,2호선,선릉,2호선,신림,1714,O,O,O,X
20230331,2호선,구로디지털단지,2호선,합정,1714,O,O,O,X
20230331,2호선,홍대입구,2호선,신도림,1707,O,O,O,X
20230331,1호선,시청,1호선,서울,1702,O,O,O,X
20230331,9호선,신논현,9호선,여의도,1701,O,O,O,X
20230331,2호선,잠실,2호선,서울대입구,1700,O,O,O,X
20230331,9호선,당산,9호선,여의도,1698,O,O,O,X
20230331,2호선,강변,2호선,강남,1690,O,O,O,X
20230331,1호선,서울,1호선,종각,1667,O,O,O,X
20230331,2호선,삼성,2호선,신림,1654,O,O,O,X
20230331,2호선,신촌,2호선,홍대입구,1651,O,O,O,X
20230331,2호선,역삼,2호선,사당,1649,O,O,O,X
20230331,3호선,양재,3호선,고속터미널,1649,O,O,O,X
20230331,2호선,잠실새내,2호선,잠실,1648,O,O,O,X
20230331,2호선,강남,2호선,강변,1641,O,O,O,X
20230331,2호선,서울대입구,2호선,잠실,1640,O,O,O,X
20230331,4호선,수유,4호선,노원,1638,O,O,O,X
20230331,2호선,선릉,2호선,서울대입구,1631,O,O,O,X
20230331,2호선,시청,2호선,홍대입구,1625,O,O,O,X
20230331,2호선,삼성,2호선,서울대입구,1618,O,O,O,X
20230331,2호선,역삼,2호선,서울대입구,1604,O,O,O,X
20230331,2호선,을지로입구,2호선,잠실,1574,O,O,O,X
20230331,2호선,교대,2호선,잠실,1571,O,O,O,X
20230331,2호선,신림,2호선,구로디지털단지,1535,O,O,O,X
20230331,4호선,노원,4호선,수유,1528,O,O,O,X
20230331,2호선,구로디지털단지,2호선,신도림,1527,O,O,O,X
20230331,2호선,신도림,2호선,구로디지털단지,1526,O,O,O,X
20230331,2호선,잠실,2호선,잠실,1520,O,O,O,X
20230331,2호선,봉천,2호선,강남,1516,O,O,O,X
20230331,7호선,가산디지털단지,7호선,광명사거리,1513,O,O,O,X
20230331,2호선,홍대입구,2호선,신촌,1491,O,O,O,X
20230331,2호선,서울대입구,2호선,신림,1485,O,O,O,X
20230331,2호선,구로디지털단지,2호선,역삼,1485,O,O,O,X
20230331,2호선,구로디지털단지,2호선,신림,1474,O,O,O,X
20230331,2호선,신도림,2호선,홍대입구,1470,O,O,O,X
20230331,2호선,강변,2호선,건대입구,1470,O,O,O,X
20230331,2호선,잠실,2호선,구로디지털단지,1456,O,O,O,X
20230331,3호선,고속터미널,3호선,양재,1452,O,O,O,X
20230331,2호선,신림,2호선,잠실,1436,O,O,O,X
20230331,5호선,화곡,5호선,여의도,1430,O,O,O,X
20230331,2호선,구로디지털단지,2호선,잠실,1428,O,O,O,X
20230331,5호선,발산,5호선,까치산,1424,O,O,O,X
20230331,2호선,을지로3가,2호선,홍대입구,1421,O,O,O,X
20230331,2호선,강남,2호선,신도림,1419,O,O,O,X
20230331,2호선,잠실,2호선,홍대입구,1419,O,O,O,X
20230331,2호선,뚝섬,2호선,잠실,1411,O,O,O,X
20230331,1호선,서울,1호선,시청,1411,O,O,O,X
20230331,2호선,강변,2호선,삼성,1402,O,O,O,X
20230331,2호선,강남,2호선,봉천,1399,O,O,O,X
20230331,2호선,신림,2호선,서울대입구,1396,O,O,O,X
20230331,2호선,잠실,2호선,교대,1394,O,O,O,X
20230331,2호선,사당,2호선,구로디지털단지,1392,O,O,O,X
20230331,2호선,건대입구,2호선,강변,1390,O,O,O,X
20230331,2호선,신도림,2호선,강남,1386,O,O,O,X
20230331,1호선,서울,1호선,용산,1383,O,O,O,X
20230331,9호선,봉은사,9호선,신논현,1376,O,O,O,X
20230331,2호선,합정,2호선,구로디지털단지,1367,O,O,O,X
20230331,2호선,역삼,2호선,삼성,1349,O,O,O,X
20230331,2호선,강남,2호선,잠실새내,1341,O,O,O,X
20230331,9호선,신논현,9호선,봉은사,1335,O,O,O,X
20230331,2호선,구로디지털단지,2호선,선릉,1333,O,O,O,X
20230331,2호선,신대방,2호선,강남,1322,O,O,O,X
20230331,2호선,교대,2호선,강남,1315,O,O,O,X
20230331,2호선,잠실,2호선,을지로입구,1313,O,O,O,X
20230331,2호선,강남,2호선,건대입구,1310,O,O,O,X
20230331,2호선,을지로입구,2호선,합정,1309,O,O,O,X
20230331,2호선,강남,2호선,역삼,1309,O,O,O,X
20230331,2호선,삼성,2호선,강변,1308,O,O,O,X
20230331,2호선,구로디지털단지,2호선,삼성,1303,O,O,O,X
20230331,2호선,잠실새내,2호선,강남,1303,O,O,O,X
20230331,5호선,발산,5호선,화곡,1301,O,O,O,X
20230331,2호선,서초,2호선,잠실,1300,O,O,O,X
